City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
278,salinas,US,36.67,-121.66,1528904100,60.8,67,1,3.62
279,ugoofaaru,MV,5.67,73,1528905461,82.93,100,80,8.77
280,kiunga,PG,-6.12,141.3,1528905464,74.29,94,88,2.06
281,koumac,NC,-20.56,164.28,1528905465,67.9,96,76,4.07
282,adre,TD,13.47,22.2,1528905465,103.27,16,20,8.66
283,ahtopol,BG,42.1,27.94,1528903800,77,57,0,13.87
284,slantsy,RU,59.12,28.09,1528905466,62.5,55,0,4.18
285,mallaig,GB,57.01,-5.83,1528905466,53.95,99,92,24.09
286,auch,FR,43.65,0.59,1528903800,73.4,56,40,10.29
287,pathein,MM,16.78,94.73,1528905467,76.9,96,92,14.81
288,maceio,BR,-9.67,-35.74,1528905600,75.2,88,75,6.93
289,oloron-sainte-marie,FR,43.19,-0.61,1528903800,68,93,88,11.41
290,isangel,VU,-19.55,169.27,1528905468,74.2,100,68,14.36
291,manglaur,IN,29.79,77.88,1528905468,82.57,64,0,2.39
292,wenling,CN,28.38,121.38,1528905468,74.56,95,92,3.96
293,pak phanang,TH,8.35,100.2,1528905469,85.99,93,48,10.22
294,aksay,RU,47.27,39.86,1528905469,87.43,21,0,3.74
295,baghdad,IQ,33.3,44.38,1528902000,104,14,0,4.7
296,fort nelson,CA,58.81,-122.69,1528902000,41,86,90,9.17
297,fuerte olimpo,BR,-21.04,-57.87,1528905470,60.97,75,92,12.8
298,bandarban,BD,22.2,92.22,1528902000,80.6,94,90,13.87
299,mao,DO,19.55,-71.08,1528902000,89.6,62,40,12.75
300,christchurch,NZ,-43.53,172.64,1528903800,48.2,93,100,8.05
301,goderich,CA,43.74,-81.71,1528905435,68.17,88,32,11.45
302,kizema,RU,61.11,44.83,1528905476,53.86,66,56,18.39
303,quatre cocos,MU,-20.21,57.76,1528902000,75.2,69,75,14.99
304,kalur kot,PK,32.16,71.27,1528905476,91.03,41,44,1.95
305,singaraja,ID,-8.11,115.08,1528905476,66.73,100,64,1.95
306,coquimbo,CL,-29.95,-71.34,1528902000,53.6,62,0,8.05
307,urengoy,RU,65.96,78.37,1528905477,69.25,59,12,12.24
308,yaypan,UZ,40.38,70.82,1528905477,76.54,43,24,3.62
309,seoul,KR,37.57,126.98,1528902000,71.6,68,75,3.36
310,acopiara,BR,-6.09,-39.45,1528905477,83.2,51,0,11.23
311,warrnambool,AU,-38.38,142.48,1528905363,51.43,100,76,17.72
312,phan thiet,VN,10.93,108.1,1528905478,78.61,100,36,10
313,ilebo,CD,-4.33,20.59,1528905478,94.72,22,12,5.19
314,kijang,KR,35.24,129.21,1528902000,68,72,40,13.87
315,krasnogorsk,RU,55.82,37.34,1528902000,69.8,59,75,13.42
316,husavik,CA,50.56,-96.99,1528905479,67.27,72,44,7.31
317,araouane,ML,18.9,-3.53,1528905479,111.46,15,0,5.75
318,tilichiki,RU,60.47,166.1,1528905480,37.93,88,0,2.62
319,bosobolo,CD,4.19,19.88,1528905481,84.19,70,20,6.42
320,villarrobledo,ES,39.27,-2.6,1528905482,76.99,28,0,12.01
321,ribeira grande,PT,38.52,-28.7,1528903800,75.2,83,40,11.41
322,shakawe,BW,-18.36,21.84,1528905485,73.93,23,0,5.19
323,nemuro,JP,43.32,145.57,1528905486,48.64,100,80,17.83
324,miramar,CR,10.09,-84.73,1528902000,80.6,61,0,3.36
325,kerman,IR,30.29,57.06,1528902000,91.4,5,20,13.87
326,davidson,US,35.5,-80.85,1528905600,78.8,65,40,4.7
327,oksfjord,NO,70.24,22.35,1528903200,46.4,65,40,10.29
328,wattegama,LK,7.35,80.68,1528905487,71.41,97,92,5.75
329,inyonga,TZ,-6.72,32.06,1528905487,79.42,32,0,3.18
330,saint george,GR,39.45,22.34,1528903200,80.6,54,40,8.05
331,jabinyanah,TN,35.03,10.91,1528902000,80.6,47,0,13.87
332,siddipet,IN,18.1,78.85,1528905488,84.1,58,56,11.68
333,praia da vitoria,PT,38.73,-27.07,1528902000,75.2,78,40,10.22
