Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,WindSpeed
68,MG,1553921130,100,-13.19,49.05,22.874000000000024,2.02
20,NG,1553921131,91,5.52,5.75,25.574000000000012,2.97
75,NO,1553921116,94,63.83,10.7,5.560000000000002,8.7
0,PT,1553921117,76,41.53,-8.62,12.220000000000027,1.5
0,GB,1553921103,100,50.12,-5.53,7.78000000000003,3.6
8,SO,1553921132,91,7.98,49.82,27.224000000000046,4.37
0,DK,1553921105,92,57.12,8.61,5.560000000000002,2.68
0,KY,1553921061,100,19.28,-81.25,25.524,5.07
48,ZA,1553920794,91,-28.77,32.06,22.574000000000012,1.67
75,CA,1553920805,45,60.72,-135.06,7.0,1.0
90,TR,1553919600,100,36.98,38.42,8.0,5.7
92,KZ,1553921133,100,45.32,55.19,3.4740000000000464,3.47
90,CA,1553918400,68,49.72,-86.95,-3.0,4.1
0,UA,1553921133,100,44.85,34.97,3.774000000000001,2.17
24,CN,1553921133,30,39.94,119.59,5.974000000000046,8.52
92,NZ,1553921133,91,-38.66,178.02,17.724000000000046,2.72
0,CN,1553921134,100,28.28,88.52,0.02400000000000091,1.32
92,GY,1553920453,91,6.8,-58.16,25.274,3.42
44,RU,1553921134,64,63.45,120.31,-1.325999999999965,1.47
75,PT,1553920810,71,37.72,-25.43,14.0,3.1
0,ZM,1553921135,71,-12.37,27.84,19.174000000000035,3.67
88,GL,1553920826,96,61.99,-49.67,-0.4759999999999991,9.97
75,JP,1553919180,45,39.28,141.86,6.0,9.8
1,US,1553920927,57,43.87,-116.5,9.0,1.5
0,NZ,1553921038,83,-44.49,171.21,18.33000000000004,1.34
40,ZA,1553918400,93,-33.59,22.2,18.0,1.5
5,SA,1553918400,60,17.54,44.22,21.0,1.87
40,US,1553921133,87,39.2,-83.61,14.0,4.1
40,US,1553921124,56,40.97,-117.74,5.0,2.6
90,US,1553921112,69,44.29,-105.5,1.670000000000016,4.6
20,RU,1553918400,74,53.14,59.15,-2.0,6.0
0,RU,1553921137,59,60.35,102.28,1.674000000000035,1.67
75,AU,1553918400,62,-23.13,150.74,31.0,4.6
40,CN,1553918400,19,40.71,112.04,2.0,7.0
8,NG,1553920833,78,7.38,8.57,26.224000000000046,6.47
0,CN,1553921138,41,39.5,106.72,5.324000000000012,2.17
92,BR,1553921138,100,-10.41,-36.43,22.574000000000012,1.52
0,LK,1553921138,82,5.97,80.42,30.374000000000024,3.12
20,CA,1553918400,84,58.52,-117.13,0.0,2.67
64,RU,1553921139,64,54.72,135.31,-1.9259999999999877,0.97
80,RU,1553921139,92,58.14,52.65,-2.0259999999999536,9.42
20,FR,1553921135,81,48.94,2.36,8.0,2.1
0,SA,1553918400,25,24.63,46.72,19.0,3.6
0,DE,1553921135,70,49.85,6.32,8.0,1.0
88,BR,1553921140,99,-0.41,-65.02,23.474000000000046,1.42
90,US,1553920318,67,38.18,-83.43,15.0,2.1
76,RU,1553920859,70,51.11,114.54,1.670000000000016,3.58
0,GB,1553921140,93,52.47,1.45,6.0,1.5
0,TD,1553920865,21,14.53,20.93,22.324000000000012,4.12
0,ES,1553921129,61,42.77,-9.06,11.110000000000014,2.1
8,PH,1553921141,100,11.14,123.72,27.824000000000012,3.37
0,MX,1553921142,96,16.48,-95.04,24.574000000000012,0.77
0,NG,1553920609,62,10.31,9.75,19.074000000000012,0.87
88,RU,1553921048,79,62.24,45.0,0.37400000000002365,7.02
8,ES,1553918400,58,28.66,-17.92,15.0,3.6
40,KE,1553918400,88,-3.68,39.86,27.0,2.1
0,CU,1553921142,100,20.34,-77.12,24.474000000000046,7.82
0,IR,1553921143,36,28.27,61.33,18.024,1.87
0,MG,1553921143,83,-20.3,44.28,28.424000000000035,1.87
90,AU,1553921112,69,-28.95,153.24,27.0,5.7
